,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Sao Carlos,75,BR,2019-09-26,100,-22.02,-47.89,15.0,1.8
1,Touros,40,BR,2019-09-26,83,-5.2,-35.46,23.0,1.5
2,State College,5,US,2019-09-26,48,40.79,-77.86,19.0,3.6
3,Portland,20,US,2019-09-26,100,43.66,-70.25,16.11,1.05
4,Lloydminster,90,CA,2019-09-26,93,53.28,-110.01,6.0,4.6
5,Palm City,75,PK,2019-09-26,100,33.58,73.11,25.0,4.6
6,Saint George,40,GR,2019-09-26,77,39.45,22.34,21.0,1.76
7,Kibala,0,TD,2019-09-26,88,9.11,18.35,25.0,0.82
8,Rikitea,92,PF,2019-09-26,69,-23.12,-134.97,22.2,4.61
9,Gushikawa,40,JP,2019-09-26,83,26.35,127.87,30.0,6.7
10,Ribeira Grande,0,PT,2019-09-26,88,38.52,-28.7,22.34,5.13
11,Punta Arenas,0,CL,2019-09-26,45,-53.16,-70.91,9.0,7.2
12,Batemans Bay,0,AU,2019-09-26,70,-35.71,150.18,18.33,2.24
13,Magistralnyy,100,RU,2019-09-26,83,56.17,107.45,3.56,5.57
14,Bredasdorp,0,ZA,2019-09-26,70,-34.53,20.04,17.78,1.08
15,Beyneu,74,KZ,2019-09-26,67,45.32,55.19,12.24,5.56
16,Xining,2,CN,2019-09-26,51,36.62,101.77,5.92,0.46
17,San Andres,6,PH,2019-09-26,73,13.32,122.68,28.45,0.6
18,Vila Franca do Campo,75,PT,2019-09-26,94,37.72,-25.43,22.0,5.1
19,Bluff,16,AU,2019-09-26,47,-23.58,149.07,23.4,3.54
20,Te Anau,100,NZ,2019-09-26,90,-45.41,167.72,6.59,3.4
21,Hermanus,0,ZA,2019-09-26,48,-34.42,19.24,22.22,2.52
22,Bonfim,2,GY,2019-09-26,59,3.36,-59.84,28.93,2.07
23,Gotsu,75,JP,2019-09-26,78,35.01,132.22,24.0,2.6
24,Khatanga,100,RU,2019-09-26,94,71.98,102.47,-0.01,3.99
25,Abalak,21,NE,2019-09-26,20,15.46,6.28,32.8,1.91
26,Chuy,8,UY,2019-09-26,78,-33.69,-53.46,13.15,4.93
27,Tuktoyaktuk,100,CA,2019-09-26,82,69.44,-133.03,3.0,12.22
28,Cape Town,0,ZA,2019-09-26,67,-33.93,18.42,19.44,1.0
29,Lethem,2,GY,2019-09-26,59,3.38,-59.8,28.93,2.07
30,Tasiilaq,83,GL,2019-09-26,86,65.61,-37.64,3.0,9.3
31,Lagoa,0,PT,2019-09-26,88,37.14,-8.45,20.0,1.0
32,Kutum,100,SD,2019-09-26,61,14.2,24.66,23.96,4.04
33,Ushuaia,0,AR,2019-09-26,49,-54.81,-68.31,8.0,2.6
34,Launceston,90,AU,2019-09-26,87,-41.43,147.14,12.22,11.8
35,Grand Gaube,62,MU,2019-09-26,87,-20.01,57.66,22.22,1.34
36,Castro,0,CL,2019-09-26,76,-42.48,-73.76,12.0,1.5
37,Busselton,47,AU,2019-09-26,86,-33.64,115.35,13.33,0.89
38,Kapaa,40,US,2019-09-26,79,22.08,-159.32,30.0,4.6
39,New Norfolk,75,AU,2019-09-26,45,-42.78,147.06,17.0,11.8
40,Qaqortoq,14,GL,2019-09-26,52,60.72,-46.03,6.0,1.0
41,Rio Bananal,84,BR,2019-09-26,91,-19.26,-40.34,21.31,1.04
42,Sao Filipe,50,CV,2019-09-26,84,14.9,-24.5,25.29,5.94
43,Orodara,0,BF,2019-09-26,88,10.98,-4.92,25.0,1.6
44,Ahipara,70,NZ,2019-09-26,71,-35.17,173.16,19.44,8.84
45,Kurumkan,100,RU,2019-09-26,90,54.33,110.32,5.44,1.59
46,Jamestown,12,AU,2019-09-26,31,-33.21,138.6,19.4,7.58
47,Port Elizabeth,33,US,2019-09-26,68,39.31,-74.98,24.0,3.28
48,Bambous Virieux,25,MU,2019-09-26,87,-20.34,57.76,22.22,1.34
49,Chambas,40,CU,2019-09-26,78,22.19,-78.91,28.0,2.6
50,Coquimbo,90,CL,2019-09-26,76,-29.95,-71.34,13.0,2.6
51,Vikhorevka,57,RU,2019-09-26,86,56.12,101.17,1.0,3.0
52,Vao,24,EE,2019-09-26,95,59.1,26.19,6.18,2.36
53,Hilo,20,US,2019-09-26,55,19.71,-155.08,32.0,3.6
54,Cabo San Lucas,5,MX,2019-09-26,65,22.89,-109.91,28.33,7.2
55,Hithadhoo,100,MV,2019-09-26,76,-0.6,73.08,28.05,5.11
56,Salamiyah,0,SY,2019-09-26,85,35.01,37.05,17.52,2.54
57,Victoria,75,BN,2019-09-26,79,5.28,115.24,29.0,1.5
58,Nuuk,20,GL,2019-09-26,45,64.17,-51.74,6.0,1.0
59,Geraldton,40,CA,2019-09-26,71,49.72,-86.95,10.0,5.1
60,Coihaique,0,CL,2019-09-26,58,-45.58,-72.07,12.0,1.0
61,Raudeberg,59,NO,2019-09-26,51,61.99,5.14,16.0,11.3
62,Port Hedland,0,AU,2019-09-26,36,-20.31,118.58,27.0,5.7
63,Port Alfred,0,ZA,2019-09-26,75,-33.59,26.89,15.0,1.34
64,Hobart,75,AU,2019-09-26,45,-42.88,147.33,17.0,11.8
65,College,90,US,2019-09-26,80,64.86,-147.8,7.22,3.6
66,Kaitangata,88,NZ,2019-09-26,58,-46.28,169.85,12.78,10.28
67,Maple Creek,92,CA,2019-09-26,70,49.91,-109.46,9.53,6.4
